repo,path,sha,date_time,previous_content,content,levenshtein_distance
thorsten/phpmyfaq,SECURITY.md,e2bf1ac97cfc5eebfe10bb165655ec3f140153e7,2019-07-28 11:39:20+00:00,,"# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.



## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.0.x   | :white_check_mark: |
| 2.9.x   | :white_check_mark: |
| < 2.8   | :x:                |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern, please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue, and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority, and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.
",1119
thorsten/phpmyfaq,SECURITY.md,76198ef9acaa23a0779a8e52b2741defffa52e2d,2020-02-16 18:35:35+00:00,"# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.



## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.0.x   | :white_check_mark: |
| 2.9.x   | :white_check_mark: |
| < 2.8   | :x:                |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern, please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue, and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority, and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.
","# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a
security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.0.x   | :white_check_mark: |
| < 2.9   | :x:                |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern,
please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue,
and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority,
and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against
you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.
",41
thorsten/phpmyfaq,SECURITY.md,f10b7b68d6698f241dea466112452c8369448607,2020-04-17 10:19:27+00:00,"# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a
security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.0.x   | :white_check_mark: |
| < 2.9   | :x:                |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern,
please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue,
and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority,
and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against
you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.
","# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a
security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.1.x-dev   | :white_check_mark: |
| 3.0.x   | :white_check_mark: |
| < 2.9   | :x:                |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern,
please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue,
and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority,
and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against
you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.
",37
thorsten/phpmyfaq,SECURITY.md,38591c2b783392cf499a63963312da85b66c2c53,2020-09-06 14:23:12+00:00,"# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a
security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.1.x-dev   | :white_check_mark: |
| 3.0.x   | :white_check_mark: |
| < 2.9   | :x:                |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern,
please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue,
and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority,
and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against
you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.
","# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a
security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.

## Supported Versions

| Version   | Supported          |
| --------- | ------------------ |
| 3.1.x-dev | :white_check_mark: |
| 3.0.x     | :white_check_mark: |
| < 2.9     | :x:                |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern,
please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue,
and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority,
and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against
you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.
",10
thorsten/phpmyfaq,SECURITY.md,6a18a5653fbf19b73a70b1bcbf2a70234e335c3b,2020-11-07 10:46:47+00:00,"# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a
security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.

## Supported Versions

| Version   | Supported          |
| --------- | ------------------ |
| 3.1.x-dev | :white_check_mark: |
| 3.0.x     | :white_check_mark: |
| < 2.9     | :x:                |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern,
please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue,
and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority,
and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against
you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.
","# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a
security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.

## Supported Versions

| Version     | Supported          |
| ----------- | ------------------ |
| 3.1.x-alpha | :white_check_mark: |
| 3.0.x       | :white_check_mark: |
| < 2.9       | :x:                |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern,
please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue,
and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority,
and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against
you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.
",13
thorsten/phpmyfaq,SECURITY.md,9f937652e41ba6b473b919c98ac92a8ebf9cf6da,2020-11-13 09:24:00+00:00,"# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a
security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.

## Supported Versions

| Version     | Supported          |
| ----------- | ------------------ |
| 3.1.x-alpha | :white_check_mark: |
| 3.0.x       | :white_check_mark: |
| < 2.9       | :x:                |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern,
please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue,
and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority,
and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against
you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.
","# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a
security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.

## Supported Versions

| Version    | Supported          |
| ---------- | ------------------ |
| 3.1.x-beta | :white_check_mark: |
| 3.0.x      | :white_check_mark: |
| < 2.9      | :x:                |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern,
please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue,
and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority,
and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against
you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.
",8
thorsten/phpmyfaq,SECURITY.md,faa42e5fe8cb91d03c7d276fe2fcd64406b0d952,2021-01-01 11:16:19+00:00,"# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a
security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.

## Supported Versions

| Version    | Supported          |
| ---------- | ------------------ |
| 3.1.x-beta | :white_check_mark: |
| 3.0.x      | :white_check_mark: |
| < 2.9      | :x:                |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern,
please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue,
and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority,
and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against
you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.
","# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a
security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.

## Supported Versions

| Version | Supported | Active development |
| ------- | --------- | ------------------ |
| 3.1.x   | ✓         | 2020 -             |
| 3.0.x   | ✓         | 2020 -             |
| 2.9.x   | ✗         | 2016 - 2019        |
| < 2.9   | ✗         | 2001 - 2015        |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern,
please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue,
and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority,
and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against
you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.

Copyright © 2001 - 2021 Thorsten Rinne and the phpMyFAQ Team
",210
thorsten/phpmyfaq,SECURITY.md,80a63a378a186fb7297b63ae624b4725e111f9ec,2022-01-01 09:56:03+00:00,"# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a
security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.

## Supported Versions

| Version | Supported | Active development |
| ------- | --------- | ------------------ |
| 3.1.x   | ✓         | 2020 -             |
| 3.0.x   | ✓         | 2020 -             |
| 2.9.x   | ✗         | 2016 - 2019        |
| < 2.9   | ✗         | 2001 - 2015        |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern,
please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue,
and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority,
and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against
you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.

Copyright © 2001 - 2021 Thorsten Rinne and the phpMyFAQ Team
","# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a
security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.

## Supported Versions

| Version | Supported | Active development |
| ------- | --------- | ------------------ |
| 3.1.x   | ✓         | 2020 -             |
| 3.0.x   | ✓         | 2020 -             |
| 2.9.x   | ✗         | 2016 - 2019        |
| < 2.9   | ✗         | 2001 - 2015        |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern,
please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue,
and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority,
and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against
you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.

Copyright © 2001 - 2022 Thorsten Rinne and the phpMyFAQ Team
",1
thorsten/phpmyfaq,SECURITY.md,7d5693c9886de971b662aece1b0380bc947a3c7c,2022-01-23 14:43:33+00:00,"# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a
security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.

## Supported Versions

| Version | Supported | Active development |
| ------- | --------- | ------------------ |
| 3.1.x   | ✓         | 2020 -             |
| 3.0.x   | ✓         | 2020 -             |
| 2.9.x   | ✗         | 2016 - 2019        |
| < 2.9   | ✗         | 2001 - 2015        |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern,
please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue,
and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority,
and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against
you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.

Copyright © 2001 - 2022 Thorsten Rinne and the phpMyFAQ Team
","# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a
security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.

## Supported Versions

| Version | Supported | Active development |
| ------- | --------- | ------------------ |
| 3.1.x   | ✓         | 2020 -             |
| 3.0.x   | ✓         | 2020 - 2022        |
| 2.9.x   | ✗         | 2016 - 2019        |
| < 2.9   | ✗         | 2001 - 2015        |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern,
please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue,
and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority,
and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against
you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.

Copyright © 2001 - 2022 Thorsten Rinne and the phpMyFAQ Team
",4
thorsten/phpmyfaq,SECURITY.md,034ec7a881087835219c9b22ca8a2973b98fb25e,2022-02-14 07:33:38+00:00,"# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a
security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.

## Supported Versions

| Version | Supported | Active development |
| ------- | --------- | ------------------ |
| 3.1.x   | ✓         | 2020 -             |
| 3.0.x   | ✓         | 2020 - 2022        |
| 2.9.x   | ✗         | 2016 - 2019        |
| < 2.9   | ✗         | 2001 - 2015        |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern,
please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue,
and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority,
and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against
you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.

Copyright © 2001 - 2022 Thorsten Rinne and the phpMyFAQ Team
","# Security Policy

We seriously take care about any security issues found in phpMyFAQ or bundled components. If you’ve discovered a
security vulnerability in phpMyFAQ, we appreciate your help in disclosing it to us in a responsible manner.

## Supported Versions

| Version | Supported | Active development |
| ------- | --------- | ------------------ |
| 3.2.x   | ✓         | 2022 -             |
| 3.1.x   | ✓         | 2022 -             |
| 3.0.x   | ✓         | 2020 - 2022        |
| < 2.9   | ✗         | 2001 - 2019        |

## Reporting a Vulnerability

Publicly disclosing a vulnerability can put the entire community at risk. If you’ve discovered a security concern,
please email us at security@phpmyfaq.de. We’ll work with you to make sure that we understand the scope of the issue,
and that we fully address your concern. We consider correspondence sent to security@phpmyfaq.de our highest priority,
and work to address any issues that arise as quickly as possible.

Please act in good faith towards our users’ privacy and data during your disclosure. We won’t take legal action against
you or administrative action against your account if you act accordingly: White hat researchers are always appreciated.

Copyright © 2001 - 2022 Thorsten Rinne and the phpMyFAQ Team
",16
